PRODUCT_ID;PRODUCT_NAME;CATEGORY;DESCRIPTION;UNIT_PRICE;SUPPLIER_ID;SUPPLIER_NAME;LEAD_TIME_DAYS;MIN_ORDER;CURRENCY;SUPPLIER_COUNTRY;SUPPLIER_ADDRESS;STATUS;SUPPLIER_CITY;STOCK_QUANTITY;MANUFACTURER;CITY_LAT;CITY_LONG;RATING
P_0110;Logitech Signature M650 L Full Size Wireless Mouse;IT Accessories;Scroll smarter: With Logitech Signature M650 Wireless Mouse you get line-by-line precision for documents and super-fast scrolling for long web pages;34,75;1000;Electro Semicon;13;32;EURO;Germany;Holzhausenstraße 6, 60318 Frankfurt am Main, Germany;AVAILABLE;Frankfurt;104;Logitech;50.1106444;8.6820917;5
P_0138;Logitech G305 LIGHTSPEED Wireless Gaming Mouse;IT Accessories;HERO Gaming Sensor: Next-gen HERO mouse sensor delivers up to 10x the power efficiency over other gaming mice with exceptional accuracy and responsiveness thanks to 400 IPS precision and up to 12000 DPI sensitivity;147,25;1001;Electro Circuits;2;39;EURO;Germany;Hochpfortenbüchel 2B, 50676 Köln, Germany;AVAILABLE;Cologne;498;Logitech;43.7218277;0.9774958;3
P_0053;Logitech M185 Wireless Mouse;IT Accessories;Compact Mouse: With a comfortable and contoured shape, this Logitech ambidextrous wireless mouse feels great in either right or left hand and is far superior to a touchpad. This wireless USB mouse features a line-by-line scroll wheel, up to 1 year of battery life (2) thanks to a smart sleep mode function, and comes with the included AA battery;295,93;1002;Infinity Networks;13;23;EURO;Germany;44147 Dortmund, Germany;AVAILABLE;Dortmund;735;Cherry;51.5142273;7.4652789;4
P_0125;HP 150 Wireless Mouse;IT Accessories;600 DPI Optical Mouse Sensor, 2.4GHz Wireless USB Receiver Included, Ambidextrous Design, 3 Buttons, Scroll Wheel, Up to 10 Month Battery, Black;240,69;1003;Optima Networks;8;5;EURO;Germany;Kaiserstraße 34, 44135 Dortmund, Germany;NOT AVAILABLE;Dortmund;0;HP;51.5142273;7.4652789;3
P_0118;Logitech ERGO K860;IT Accessories;Logitech ERGO K860 Wireless Ergonomic Keyboard;239,18;1004;Vertex Semicon;1;10;EURO;Germany;Lange Str. 62, 44137 Dortmund, Germany;NOT AVAILABLE;Dortmund;0;Logitec;51.5142273;7.4652789;4
P_0129;Arteck Split Ergonomic Keyboard;IT Accessories;Arteck Split Ergonomic Keyboard with Cushioned Wrist and Palm Rest, 2.4G USB Wireless Comfortable Natural Ergonomic Split Keyboard;246,11;1005;Precision Dynamics;11;26;EURO;Germany;Otto-Hahn-Straße 12, 44227 Dortmund, Germany;AVAILABLE;Dortmund;768;Arteck;51.5142273;7.4652789;4
P_0123;TECKNET Wireless Mouse for Laptop;IT Accessories;4800 DPI Optical Computer Mice with 6 Adjustable Levels, 30 Months Long Battery Life 2.4G Cordless USB Silent Mouse for Notebook, PC, Office Home Work (Grey);272,09;1006;Quantum Semicon;8;33;EURO;Germany;Eschborner Landstraße 55, 60489 Frankfurt am Main, Germany;AVAILABLE;Frankfurt;221;TECKNET;50.1106444;8.6820917;2
P_0074;GeekerChip Rechargeable Wireless Mouse;IT Accessories;Bluetooth Mouse, Two Modes (BT 5.1 + 2.4G Wireless), Ultra-Thin/Silent (800-1200-1600), with USB cable, Wireless Mouse for PC/Tablet/Laptop(Black);258,9;1007;Hyper Labs;9;49;EURO;Germany;Südwall, 44137 Dortmund, Germany;AVAILABLE;Dortmund;769;GeekerChip;51.5142273;7.4652789;4
P_0115;Logitech M330 SILENT PLUS Wireless Mouse;IT Accessories;2.4GHz with USB Nano Receiver, 1000 DPI Optical Tracking, 2-year Battery Life, Compatible with PC, Mac, Laptop, Chromebook;69,62;1008;Digital Works;8;16;EURO;Germany;Thorwaldsenstraße 11, 51103 Köln, Germany;NOT AVAILABLE;Cologne;0;Logitech;43.7218277;0.9774958;3
P_0048;VENTION Docking Station Dual Monitor;IT Accessories;16 IN 1 USB C Docking Station: VENTION laptop docking station features 2×4K@60Hz HDMI Ports, 4K@60Hz DP Port, 10Gbps USB C Port, 2x10Gbps USB A Ports, USB C Port, USB 3.0 Ports, 2xUSB 2.0 Ports, 100W Power Delivery (PD) Port, 3.5mm Audio Port, SD/TF Reader, PC Host Port and RJ45 Gigabit Ethernet, catering to all your daily needs;131,53;1009;Byte Works;14;24;EURO;Germany;Essen Schützenbahn 70, 45127 Essen, Germany;NOT AVAILABLE;Essen;416;VENTION;51.4582235;7.0158171;4
P_0111;UGREEN 2.4G Wireless Mouse;IT Accessories;Laptop, 4000 DPI 5 Adjustable Levels Ergonomic USB Wireless Mouse Compatible With PC MacBook Chromebook, 18-Month Battery Life (Black);34,75;1010;Circuit Micro;13;32;EURO;Germany;Holzhausenstraße 6, 60318 Frankfurt am Main, Germany;AVAILABLE;Frankfurt;104;UGREEN;50.1106444;8.6820917;3
P_0139;FUGACI Wireless Mouse;IT Accessories;2 USB A to USB C Adapter, 2.4GHZ Bluetooth Mouse Rechargeable, Laptop Mouse Computer Accessories, USB Mouse 3 Buttons-Laptop Mouse Wireless PC Mouse 800 to 2400 Dpi;147,25;1011;Logic Supplies;2;39;EURO;Germany;Hochpfortenbüchel 2B, 50676 Köln, Germany;NOT AVAILABLE;Cologne;0;FUGACI;43.7218277;0.9774958;4
P_0052;JLab Go Work Wireless Headset;IT Accessories;Microphone for Laptop, 45+ Hr Playtime Bluetooth PC Headset, Multipoint Connect to Computer & Mobile, On Ear Wired or Wireless Headphones with Microphone;295,93;1012;Neo Wave;13;23;EURO;Germany;44147 Dortmund, Germany;NOT AVAILABLE;Dortmund;0;JLab;51.5142273;7.4652789;2
P_0124;Rebocico USB Headset with Microphone Noise Cancelling;IT Accessories;& Audio Controls, 3.5mm/USB Jack 2-In-1 Computer Office Teams Headsets, PC Headphone for laptop Skype Call Center, Business Chat, Teaching(1-Black);240,69;1013;Precision Links;8;5;EURO;Germany;Kaiserstraße 34, 44135 Dortmund, Germany;AVAILABLE;Dortmund;8;Rebocico;51.5142273;7.4652789;4
P_0117;Kensington Pro Fit Ergonomic Keyboard;IT Accessories;Kensington Pro Fit Ergo Wireless Keyboard, QWERTY keyboard layout, Dual 2.4 GHz and Bluetooth 4.2 technology;239,18;1014;Neo Dynamics;1;10;EURO;Germany;Lange Str. 62, 44137 Dortmund, Germany;AVAILABLE;Dortmund;808;Kensington;51.5142273;7.4652789;3
P_0128;Microsoft L5V-00006 Sculpt Ergonomic Keyboard;IT Accessories;Microsoft L5V-00006 Sculpt Ergonomic Desktop Keyboard;246,11;1015;Electro Industries;11;26;EURO;Germany;Otto-Hahn-Straße 12, 44227 Dortmund, Germany;NOT AVAILABLE;Dortmund;0;Microsoft;51.5142273;7.4652789;4
P_0122;Sennheiser PC 5.2 CHAT, wired headset for relaxed gaming;IT Accessories;FOCUSED AT WORK - The headset with microphone has soft ear pads. These are so comfortable that you can wear the headphones with microphone all day long. Nothing distracts you from your work. NOISE CANCELLING HEADPHONES WITH NOISE-CANCELLING TECHNOLOGY — Your voice is heard clearly thanks to the noise-canceling microphone.;272,09;1016;Volt Dynamics;8;33;EURO;Germany;Eschborner Landstraße 55, 60489 Frankfurt am Main, Germany;AVAILABLE;Frankfurt;221;Sennheiser;50.1106444;8.6820917;5
P_0073;Link Dream USB Headsets with Microphone;IT Accessories;Clear Sound Quality: Link Dream H365 USB Headset with Microphone built-in a sound card, which enabled the newest unidirectional noise-reduction tech aims to improve voice clarity. Professional business headsets with microphone born for audio and online chat, providing high-quality stereo sound for conversation.;258,9;1017;Optima Micro;9;49;EURO;Germany;Südwall, 44137 Dortmund, Germany;AVAILABLE;Dortmund;769;Link Dream;51.5142273;7.4652789;3
P_0114;TECKNET Wireless Headset with Microphone Noise Cancelling;IT Accessories;Bluetooth Headset with Microphone for Laptop, All Day Battery Life with Charging Dock for Office, Home, Remote Work, Call Center and More;69,62;1018;Hyper Components;8;16;EURO;Germany;Thorwaldsenstraße 11, 51103 Köln, Germany;AVAILABLE;Cologne;909;TECKNET;43.7218277;0.9774958;2
P_0047;Mosiriui USB C Docking Station Dual Monitor14 IN 1USB C HUB Multiport Adapter;IT Accessories;Wireless mouse with multi-device connectivity;131,53;1019;Blue Components;14;24;EURO;Germany;Essen Schützenbahn 70, 45127 Essen, Germany;AVAILABLE;Essen;416;Mosiriui;51.4582235;7.0158171;4
P_0140;Razer DeathAdder V2 Pro Wireless Gaming Mouse;IT Accessories;Razer HyperSpeed Wireless Technology, 20K Optical Sensor, 8 Programmable Buttons, RGB Chroma Lighting;229,99;1020;Infinity Supplies;3;25;EURO;Germany;Bramfelder Str. 31, 22159 Hamburg, Germany;AVAILABLE;Hamburg;200;Razer;53.550341;10.000654;5
P_0141;Corsair K95 RGB Platinum XT Mechanical Gaming Keyboard;IT Accessories;Corsair OPX Optical-Mechanical Keyswitches, 6 Key Rollover, RGB Backlighting, Dedicated Media Controls;209,99;1021;Hyper Semicon;5;10;EURO;Germany;Lange Str. 55, 80331 Munich, Germany;AVAILABLE;Munich;50;Corsair;48.1371079;11.5753822;4
P_0142;Apple Magic Mouse 2;IT Accessories;Rechargeable, Wireless Bluetooth Mouse with Multi-Touch Surface;89,99;1022;Neo Electronics;7;20;EURO;Germany;Kupfergraben 10, 10178 Berlin, Germany;AVAILABLE;Berlin;350;Apple;52.510885;13.3989367;5
P_0143;SteelSeries Arctis 7 Wireless Gaming Headset;IT Accessories;Lossless Wireless Audio, 24-Hour Battery Life, S1 Speaker Drivers, ClearCast Microphone;149,99;1023;Tech Dynamics;4;15;EURO;Germany;Wankelstraße 14, 70563 Stuttgart, Germany;AVAILABLE;Stuttgart;300;SteelSeries;48.7784485;9.1800132;4
P_0144;Logitech G Pro X Superlight Wireless Gaming Mouse;IT Accessories;HERO Sensor, Ultra-Lightweight Design, 5-Button Programmable, 25K DPI;129,99;1024;Electro Systems;6;50;EURO;Germany;Hauptstraße 45, 90762 Fürth, Germany;AVAILABLE;Fürth;180;Logitech;49.48857105;10.95872031326412;5
P_0145;BenQ Zowie XL2411P 24 Inch Gaming Monitor;IT Accessories;144Hz Refresh Rate, 1ms Response Time, Black eQualizer, Adjustable Height;249,99;1025;Circuit Devices;2;10;EURO;Germany;Friedrichstraße 25, 10117 Berlin, Germany;AVAILABLE;Berlin;250;BenQ;52.510885;13.3989367;4
P_0146;Sennheiser Momentum 3 Wireless Headphones;IT Accessories;Active Noise Cancellation, 17-Hour Battery Life, High-Resolution Audio, Wireless & Wired Connection;379,99;1026;Volt Micro;6;12;EURO;Germany;Am Borsigturm 1, 13507 Berlin, Germany;AVAILABLE;Berlin;90;Sennheiser;52.510885;13.3989367;5
P_0147;Acer Predator X34P 34-Inch Curved Monitor;IT Accessories;Curved 1800R, 120Hz Refresh Rate, NVIDIA G-SYNC, 21:9 UltraWide;699,99;1027;Byte Semicon;8;20;EURO;Germany;Bruckstrasse 3, 80333 Munich, Germany;AVAILABLE;Munich;40;Acer;48.1371079;11.5753822;5
P_0148;Microsoft Surface Mouse;IT Accessories;Wireless Bluetooth, Precision Tracking, Slim Design, Available in Multiple Colors;54,99;1028;Fusion Devices;14;30;EURO;Germany;Daimlerstraße 11, 70550 Stuttgart, Germany;AVAILABLE;Stuttgart;500;Microsoft;48.7784485;9.1800132;4
P_0149;Turtle Beach Stealth 700 Gen 2 Wireless Headset;IT Accessories;Surround Sound, 20-Hour Battery Life, Bluetooth Streaming, Active Noise Cancellation;179,99;1029;Circuit Parts;3;35;EURO;Germany;Gustav-Freytag-Str. 2, 10555 Berlin, Germany;AVAILABLE;Berlin;150;Turtle Beach;52.510885;13.3989367;5
P_0150;Kingston HyperX Alloy FPS Pro Mechanical Gaming Keyboard;IT Accessories;Tenkeyless Design, Red Mechanical Switches, RGB Backlighting;109,99;1030;Smart Networks;9;15;EURO;Germany;An der Kaimbrücke 9, 80331 Munich, Germany;AVAILABLE;Munich;200;Kingston;48.1371079;11.5753822;4
P_0151;Logitech C920 HD Pro Webcam;IT Accessories;Full HD 1080p, Autofocus, Stereo Audio, Plug & Play;99,99;1031;Fusion Components;11;50;EURO;Germany;Münchener Str. 12, 80337 Munich, Germany;AVAILABLE;Munich;320;Logitech;48.1371079;11.5753822;4
P_0152;Corsair Vengeance LPX 16GB (2 x 8GB) DDR4 RAM;IT Accessories;3200MHz, 16GB Dual Channel Kit, High-Performance Memory;69,99;1032;Tech Electronics;6;30;EURO;Germany;Zeppelinstr. 23, 30853 Langenhagen, Germany;AVAILABLE;Langenhagen;180;Corsair;52.443118;9.738994;5
P_0153;Razer Kraken X Ultralight Gaming Headset;IT Accessories;7.1 Surround Sound, 40mm Drivers, Lightweight Design, Adjustable Headband;49,99;1033;Smart Works;3;40;EURO;Germany;Strassburger Str. 16, 76137 Karlsruhe, Germany;AVAILABLE;Karlsruhe;350;Razer;49.0068705;8.4034195;3
P_0154;Sony WH-1000XM4 Wireless Noise-Canceling Headphones;IT Accessories;Industry-Leading Noise Cancellation, 30-Hour Battery Life, Touch Sensor Controls;349,99;1034;Core Circuits;2;25;EURO;Germany;Friedrichstr. 1, 10117 Berlin, Germany;AVAILABLE;Berlin;220;Sony;52.510885;13.3989367;5
P_0155;HP Omen 15 Gaming Laptop;IT Accessories;Intel i7, 16GB RAM, 512GB SSD, 15.6” Full HD Display, NVIDIA GTX 1660 Ti;1,299,99;1035;Digital Devices;4;10;EURO;Germany;Bismarckstraße 35, 10625 Berlin, Germany;AVAILABLE;Berlin;100;HP;52.510885;13.3989367;5
P_0156;Samsung Odyssey G7 32-Inch Curved Gaming Monitor;IT Accessories;240Hz Refresh Rate, QHD Resolution, NVIDIA G-SYNC Compatible;799,99;1036;Core Group;5;25;EURO;Germany;Sachsstraße 13, 01067 Dresden, Germany;AVAILABLE;Dresden;60;Samsung;51.0493286;13.7381437;5
P_0157;Logitech G915 LIGHTSPEED Wireless RGB Mechanical Gaming Keyboard;IT Accessories;RGB Backlighting, Low Profile Mechanical Switches, 30-Hour Battery Life, 5 Programmable Keys;229,99;1037;Crystal Circuits;9;40;EURO;Germany;Lindenstraße 20, 50933 Cologne, Germany;AVAILABLE;Cologne;100;Logitech;43.7218277;0.9774958;5
P_0158;SteelSeries Rival 3 Wireless Gaming Mouse;IT Accessories;AVAILABLEMove Air Optical Sensor, 18K DPI, 40 Hour Battery Life, RGB Lighting;59,99;1038;Nano Links;2;20;EURO;Germany;Stuttgartstr. 24, 70173 Stuttgart, Germany;AVAILABLE;Stuttgart;250;SteelSeries;48.7784485;9.1800132;4
P_0159;Turtle Beach Recon 70 Wired Gaming Headset;IT Accessories;40mm Speakers, Lightweight Design, High-Quality Mic, Compatible with PC, PS4, Xbox;39,99;1039;Crystal Systems;7;50;EURO;Germany;Oststraße 14, 40211 Düsseldorf, Germany;AVAILABLE;Düsseldorf;600;Turtle Beach;51.2254018;6.7763137;4
P_0160;HyperX Pulsefire FPS Pro RGB Gaming Mouse;IT Accessories;16K DPI Sensor, RGB Lighting, 6 Programmable Buttons, Ergonomic Design;79,99;1040;Quantum Supplies;5;10;EURO;Germany;Clemensstraße 4, 70197 Stuttgart, Germany;AVAILABLE;Stuttgart;350;HyperX;48.7784485;9.1800132;4
P_0161;Corsair K70 RGB MK.2 Mechanical Gaming Keyboard;IT Accessories;Cherry MX Keyswitches, RGB Backlighting, Aircraft-Grade Aluminum Frame, 8MB Profile Storage;169,99;1041;Blue Supplies;4;20;EURO;Germany;Carl-Benz-Straße 1, 60528 Frankfurt, Germany;AVAILABLE;Frankfurt;220;Corsair;50.1106444;8.6820917;5
P_0162;Razer BlackWidow V3 Mechanical Gaming Keyboard;IT Accessories;Razer Green Switches, RGB Chroma Backlighting, Dedicated Media Controls;119,99;1042;Fusion Dynamics;2;30;EURO;Germany;Sonnenstraße 14, 80331 Munich, Germany;AVAILABLE;Munich;300;Razer;48.1371079;11.5753822;5
P_0163;Logitech G203 LIGHTSYNC RGB Gaming Mouse;IT Accessories;8,000 DPI, 6 Programmable Buttons, LIGHTSYNC RGB Lighting, Classic Design;39,99;1043;Nano Devices;3;40;EURO;Germany;Schwabenstraße 12, 85748 Garching, Germany;AVAILABLE;Garching;450;Logitech;48.2513878;11.6509662;4
P_0164;MSI Optix MAG272C 27-Inch Curved Gaming Monitor;IT Accessories;165Hz Refresh Rate, 1ms Response Time, Full HD Curved Display, AMD FreeSync;299,99;1044;Byte Wave;4;15;EURO;Germany;Siegstraße 5, 65812 Bad Soden, Germany;AVAILABLE;Bad Soden;120;MSI;50.1517006;8.4899671;4
P_0165;Alienware AW2521H 25-Inch Gaming Monitor;IT Accessories;360Hz Refresh Rate, 1ms Response Time, NVIDIA G-SYNC, Full HD;549,99;1045;Optima Components;3;20;EURO;Germany;Hochstraße 4, 60313 Frankfurt am Main, Germany;AVAILABLE;Frankfurt;180;Alienware;50.1106444;8.6820917;5
P_0166;Apple AirPods Pro 2nd Generation;IT Accessories;Active Noise Cancellation, Transparency Mode, Spatial Audio, Up to 6 Hours of Listening;249,99;1046;Crystal Labs;5;30;EURO;Germany;Kaufingerstr. 11, 80331 Munich, Germany;AVAILABLE;Munich;350;Apple;48.1371079;11.5753822;5
P_0167;Bose QuietComfort 35 II Wireless Headphones;IT Accessories;Noise Cancelling, 20-Hour Battery Life, Bluetooth, Alexa Enabled;329,99;1047;Quantum Parts;6;20;EURO;Germany;Marienplatz 9, 80331 Munich, Germany;AVAILABLE;Munich;200;Bose;48.1371079;11.5753822;5
P_0168;Logitech G Pro Wireless Gaming Mouse;IT Accessories;Hero Sensor, 16,000 DPI, LIGHTSPEED Wireless Technology, Ultra-Lightweight;129,99;1048;Pixel Dynamics;7;15;EURO;Germany;Oberlinden 13, 79539 Lörrach, Germany;AVAILABLE;Lörrach;250;Logitech;47.6120896;7.6607218;5
P_0169;SteelSeries Apex Pro TKL Mechanical Gaming Keyboard;IT Accessories;OmniPoint Adjustable Switches, RGB Backlighting, Aircraft-Grade Aluminum Alloy Frame;199,99;1049;Hyper Supplies;8;10;EURO;Germany;Königsberger Str. 23, 70563 Stuttgart, Germany;AVAILABLE;Stuttgart;180;SteelSeries;48.7784485;9.1800132;5
P_0170;Corsair M65 RGB Elite Optical Gaming Mouse;IT Accessories;18,000 DPI, 8 Programmable Buttons, Aluminum Frame, RGB Lighting;59,99;1000;Electro Semicon;3;40;EURO;Germany;Maxstraße 12, 60311 Frankfurt am Main, Germany;AVAILABLE;Frankfurt;300;Corsair;50.1106444;8.6820917;4
P_0171;HyperX Cloud II Wireless Gaming Headset;IT Accessories;53mm Drivers, 7.1 Virtual Surround Sound, 30-Hour Battery Life, Detachable Microphone;149,99;1001;Electro Circuits;4;30;EURO;Germany;Berliner Str. 9, 40210 Düsseldorf, Germany;AVAILABLE;Düsseldorf;250;HyperX;51.2254018;6.7763137;4
P_0172;BenQ EW3270U 32-Inch 4K Monitor;IT Accessories;HDR, 95% DCI-P3, USB-C, 60Hz, IPS Panel;399,99;1002;Infinity Networks;3;25;EURO;Germany;Mainzer Str. 10, 60325 Frankfurt am Main, Germany;AVAILABLE;Frankfurt;140;BenQ;50.1106444;8.6820917;5
P_0173;SteelSeries Arctis Pro Wireless Gaming Headset;IT Accessories;Hi-Res Audio, Dual Wireless Technology, 20-Hour Battery Life, RGB Lighting;329,99;1003;Optima Networks;5;30;EURO;Germany;Friedrichstraße 37, 70173 Stuttgart, Germany;AVAILABLE;Stuttgart;180;SteelSeries;48.7784485;9.1800132;5
P_0174;Razer DeathAdder Elite Gaming Mouse;IT Accessories;16,000 DPI Optical Sensor, 7 Programmable Buttons, RGB Chroma Lighting, Ergonomic Shape;69,99;1004;Vertex Semicon;3;40;EURO;Germany;Gewerbepark 25, 94518 Hauzenberg, Germany;AVAILABLE;Hauzenberg;400;Razer;48.6551971;13.6276784;4
P_0175;Logitech G613 LIGHTSPEED Wireless Mechanical Gaming Keyboard;IT Accessories;Romber G Mechanical Keyswitches, 18-Hour Battery Life, LIGHTSPEED Wireless Technology;129,99;1005;Precision Dynamics;2;50;EURO;Germany;Nordstraße 6, 80937 Munich, Germany;AVAILABLE;Munich;200;Logitech;48.1371079;11.5753822;4
P_0176;Samsung T7 Touch Portable SSD 1TB;IT Accessories;Fingerprint Security, 1050MB/s Read, 1000MB/s Write, USB 3.2 Gen 2;169,99;1006;Quantum Semicon;7;20;EURO;Germany;Zeppelinstraße 9, 63477 Maintal, Germany;AVAILABLE;Maintal;500;Samsung;50.1438711;8.8371266;5
P_0177;Seagate Expansion 4TB Portable Hard Drive;IT Accessories;Plug-and-Play, USB 3.0, 4TB Storage Capacity, Compact Design;119,99;1007;Hyper Labs;8;25;EURO;Germany;Bachstraße 18, 74072 Heilbronn, Germany;AVAILABLE;Heilbronn;300;Seagate;49.142291;9.218655;4
P_0178;ADATA XPG SX8200 Pro 1TB M.2 SSD;IT Accessories;Read Speed 3500MB/s, Write Speed 3000MB/s, PCIe Gen3x4, NVMe 1.3;129,99;1008;Digital Works;4;30;EURO;Germany;Alte Landstraße 12, 20257 Hamburg, Germany;AVAILABLE;Hamburg;200;ADATA;53.550341;10.000654;5
P_0179;Corsair Vengeance LPX 32GB (2 x 16GB) DDR4 RAM;IT Accessories;3200MHz, 32GB Dual Channel Kit, High-Performance Memory;159,99;1009;Byte Works;5;20;EURO;Germany;Schwanenstraße 8, 70173 Stuttgart, Germany;AVAILABLE;Stuttgart;250;Corsair;48.7784485;9.1800132;5
P_0180;HP Elite Dragonfly 13.3-inch Laptop;IT Accessories;Intel i5, 16GB RAM, 512GB SSD, 13.3” Full HD, Windows 10 Pro;1,499,99;1010;Circuit Micro;7;10;EURO;Germany;Bismarckplatz 4, 80336 Munich, Germany;AVAILABLE;Munich;80;HP;48.1371079;11.5753822;5
P_0181;Lenovo ThinkPad X1 Carbon Gen 9;IT Accessories;Intel i7, 16GB RAM, 1TB SSD, 14” WQHD, Windows 10 Pro;2,299,99;1011;Logic Supplies;4;20;EURO;Germany;Franzstraße 12, 44793 Bochum, Germany;AVAILABLE;Bochum;100;Lenovo;51.4818111;7.2196635;5
P_0182;Asus ROG Strix G15 Gaming Laptop;IT Accessories;Intel i7, 16GB RAM, 512GB SSD, NVIDIA GTX 1660 Ti, 15.6” Full HD Display;1,299,99;1012;Neo Wave;6;15;EURO;Germany;Thurn-und-Taxis-Platz 6, 60313 Frankfurt am Main, Germany;AVAILABLE;Frankfurt;120;Asus;50.1106444;8.6820917;5
P_0183;MSI GE76 Raider 17.3-Inch Gaming Laptop;IT Accessories;Intel i9, 32GB RAM, 1TB SSD, NVIDIA RTX 3080, 17.3” Full HD Display;2,499,99;1013;Precision Links;8;10;EURO;Germany;Münchener Str. 12, 80335 Munich, Germany;AVAILABLE;Munich;60;MSI;48.1371079;11.5753822;5
P_0184;Toshiba Canvio Basics 2TB Portable External Hard Drive;IT Accessories;USB 3.0, Plug-and-Play, 2TB Storage Capacity, Compact Design;69,99;1014;Neo Dynamics;6;25;EURO;Germany;Schillerstraße 5, 80336 Munich, Germany;AVAILABLE;Munich;500;Toshiba;48.1371079;11.5753822;4
P_0185;Seagate BarraCuda 4TB Internal Hard Drive;IT Accessories;5400RPM, SATA 6Gb/s, 4TB Storage Capacity, 256MB Cache;99,99;1015;Electro Industries;5;20;EURO;Germany;Hauptstraße 9, 70173 Stuttgart, Germany;AVAILABLE;Stuttgart;400;Seagate;48.7784485;9.1800132;5
P_0186;Western Digital My Passport 2TB Portable External Hard Drive;IT Accessories;USB 3.0, 2TB Storage Capacity, Plug-and-Play;79,99;1016;Volt Dynamics;4;30;EURO;Germany;Friedrichstraße 24, 10117 Berlin, Germany;AVAILABLE;Berlin;350;Western Digital;52.510885;13.3989367;4
P_0187;Logitech G923 Racing Wheel and Pedals;IT Accessories;AVAILABLEForce Force Feedback, Compatible with PlayStation, Xbox, and PC, Leather Wheel;399,99;1017;Optima Micro;7;10;EURO;Germany;Hegelstraße 15, 70174 Stuttgart, Germany;AVAILABLE;Stuttgart;150;Logitech;48.7784485;9.1800132;5
P_0188;Thrustmaster T300 RS GT Racing Wheel;IT Accessories;HallEffect AccuRate Technology, Adjustable Force Feedback, Detachable GT Wheel;499,99;1018;Hyper Components;3;25;EURO;Germany;Lindenstraße 4, 60325 Frankfurt am Main, Germany;AVAILABLE;Frankfurt;180;Thrustmaster;50.1106444;8.6820917;5
P_0189;Hori Onyx Wireless Controller for PlayStation 4;IT Accessories;Bluetooth Wireless, 3.5mm Audio Jack, Customizable Buttons, Ergonomic Design;39,99;1019;Blue Components;5;40;EURO;Germany;Hofstraße 12, 75323 Bad Wildbad, Germany;AVAILABLE;Bad Wildbad;450;Hori;48.7502439;8.550301;4
P_0190;Razer Wolverine V2 Wired Gaming Controller;IT Accessories;Mecha-Tactile Action Buttons, Ergonomic Design, 6 Remappable Buttons;99,99;1020;Infinity Supplies;2;30;EURO;Germany;Weißer Stein 3, 60389 Frankfurt am Main, Germany;AVAILABLE;Frankfurt;200;Razer;50.1106444;8.6820917;5
P_0191;PDP Afterglow Wireless Deluxe Controller;IT Accessories;RGB LED Lighting, Bluetooth Wireless, Ergonomic Design, Compatible with PC and Xbox One;59,99;1021;Hyper Semicon;6;35;EURO;Germany;Münchener Str. 8, 80336 Munich, Germany;AVAILABLE;Munich;300;PDP;48.1371079;11.5753822;4
P_0192;SteelSeries Rival 110 Gaming Mouse;IT Accessories;6,000 DPI, RGB Lighting, Ergonomic Design, Durable Construction;39,99;1022;Neo Electronics;4;50;EURO;Germany;Lindenstr. 8, 70191 Stuttgart, Germany;AVAILABLE;Stuttgart;400;SteelSeries;48.7784485;9.1800132;4
P_0193;Nacon Revolution Unlimited Pro Controller;IT Accessories;Precision Control, Adjustable Weight, Dual Shock Vibration, Compatible with PC and PS4;129,99;1023;Tech Dynamics;5;20;EURO;Germany;Leipziger Str. 20, 40470 Düsseldorf, Germany;AVAILABLE;Düsseldorf;350;Nacon;51.2254018;6.7763137;4
P_0194;Thrustmaster T150 Pro Racing Wheel;IT Accessories;HallEffect AccuRate Technology, Adjustable Force Feedback, Detachable GT Wheel;249,99;1024;Electro Systems;8;15;EURO;Germany;Gutenbergstraße 9, 40880 Düsseldorf, Germany;AVAILABLE;Düsseldorf;180;Thrustmaster;51.2254018;6.7763137;5
